id;name;pic_medium;pic_small;rank;uniques;url;views;selecionado
3ade68b7gf6932ea3;Ludmilla;https://s2.vagalume.com/ludmilla/images/ludmilla.jpg;https://s2.vagalume.com/ludmilla/images/profile.jpg;89.0;11537;https://www.vagalume.com.br/ludmilla/;15727;0
3ade68b6g9609eda3;Racionais Mc's;https://s2.vagalume.com/racionais-mcs/images/racionais-mcs.jpg;https://s2.vagalume.com/racionais-mcs/images/profile.jpg;71.7;9302;https://www.vagalume.com.br/racionais-mcs/;14160;0
3ade68b7g56470ea3;Músicas Católicas;https://s2.vagalume.com/musicas-catolicas/images/musicas-catolicas.jpg;https://s2.vagalume.com/musicas-catolicas/images/profile.jpg;63.9;8279;https://www.vagalume.com.br/musicas-catolicas/;24442;0
3ade68b5g3758eda3;Roberto Carlos;https://s2.vagalume.com/roberto-carlos/images/roberto-carlos.jpg;https://s2.vagalume.com/roberto-carlos/images/profile.jpg;52.0;6743;https://www.vagalume.com.br/roberto-carlos/;18632;1
3ade68b7g3f7e1ea3;Marília Mendonça;https://s2.vagalume.com/marilia-mendonca/images/marilia-mendonca.jpg;https://s2.vagalume.com/marilia-mendonca/images/profile.jpg;40.8;5284;https://www.vagalume.com.br/marilia-mendonca/;24141;1
3ade68b5g5538eda3;Aline Barros;https://s2.vagalume.com/aline-barros/images/aline-barros.jpg;https://s2.vagalume.com/aline-barros/images/profile.jpg;35.5;4607;https://www.vagalume.com.br/aline-barros/;10646;0
3ade68b5g5fe8eda3;Zezé Di Camargo e Luciano;https://s2.vagalume.com/zeze-di-camargo-e-luciano/images/zeze-di-camargo-e-luciano.jpg;https://s2.vagalume.com/zeze-di-camargo-e-luciano/images/profile.jpg;30.0;3889;https://www.vagalume.com.br/zeze-di-camargo-e-luciano/;10945;1
3ade68b7g3e6e2ea3;Melim;https://s2.vagalume.com/melim/images/melim.jpg;https://s2.vagalume.com/melim/images/profile.jpg;29.4;3813;https://www.vagalume.com.br/melim/;13523;0
3ade68b6gad13fda3;Harpa Cristã;https://s2.vagalume.com/harpa-crista/images/harpa-crista.jpg;https://s2.vagalume.com/harpa-crista/images/profile.jpg;29.1;3769;https://www.vagalume.com.br/harpa-crista/;11102;0
3ade68b6g39a2fda3;Jorge e Mateus;https://s2.vagalume.com/jorge-e-mateus/images/jorge-e-mateus.jpg;https://s2.vagalume.com/jorge-e-mateus/images/profile.jpg;27.5;3564;https://www.vagalume.com.br/jorge-e-mateus/;13817;1
3ade68b7g75621ea3;Gusttavo Lima;https://s2.vagalume.com/gusttavo-lima/images/gusttavo-lima.jpg;https://s2.vagalume.com/gusttavo-lima/images/profile.jpg;25.9;3360;https://www.vagalume.com.br/gusttavo-lima/;12064;1
3ade68b7g73521ea3;Henrique e Juliano;https://s2.vagalume.com/henrique-e-juliano/images/henrique-e-juliano.jpg;https://s2.vagalume.com/henrique-e-juliano/images/profile.jpg;23.3;3024;https://www.vagalume.com.br/henrique-e-juliano/;10573;1
3ade68b7g8f8b2ea3;Anavitória;https://s2.vagalume.com/anavitoria/images/anavitoria.jpg;https://s2.vagalume.com/anavitoria/images/profile.jpg;23.1;3001;https://www.vagalume.com.br/anavitoria/;10904;1
3ade68b3g6c86eda3;Legião Urbana;https://s2.vagalume.com/legiao-urbana/images/legiao-urbana.jpg;https://s2.vagalume.com/legiao-urbana/images/profile.jpg;22.3;2895;https://www.vagalume.com.br/legiao-urbana/;10082;1
3ade68b6g1bf9eda3;Roupa Nova;https://s2.vagalume.com/roupa-nova/images/roupa-nova.jpg;https://s2.vagalume.com/roupa-nova/images/profile.jpg;20.5;2653;https://www.vagalume.com.br/roupa-nova/;7982;1
3ade68b7gc8cb1ea3;Anitta;https://s2.vagalume.com/anitta/images/anitta.jpg;https://s2.vagalume.com/anitta/images/profile.jpg;20.1;2607;https://www.vagalume.com.br/anitta/;6245;1
3ade68b6gf72ceda3;Padre Zezinho;https://s2.vagalume.com/padre-zezinho/images/padre-zezinho.jpg;https://s2.vagalume.com/padre-zezinho/images/profile.jpg;19.7;2553;https://www.vagalume.com.br/padre-zezinho/;4306;0
3ade68b7gb1cf1ea3;Thiaguinho;https://s2.vagalume.com/thiaguinho/images/thiaguinho.jpg;https://s2.vagalume.com/thiaguinho/images/profile.jpg;19.6;2540;https://www.vagalume.com.br/thiaguinho/;7881;1
3ade68b7g09712ea3;Zé Neto e Cristiano;https://s2.vagalume.com/ze-neto-e-cristiano/images/ze-neto-e-cristiano.jpg;https://s2.vagalume.com/ze-neto-e-cristiano/images/profile.jpg;19.3;2501;https://www.vagalume.com.br/ze-neto-e-cristiano/;9741;1
3ade68b5ged38eda3;Charlie Brown Jr;https://s2.vagalume.com/charlie-brown-jr/images/charlie-brown-jr.jpg;https://s2.vagalume.com/charlie-brown-jr/images/profile.jpg;19.1;2478;https://www.vagalume.com.br/charlie-brown-jr/;8673;1
3ade68b7gd14e2ea3;Alok;https://s2.vagalume.com/alok/images/alok.jpg;https://s2.vagalume.com/alok/images/profile.jpg;17.5;2268;https://www.vagalume.com.br/alok/;6288;1
3ade68b7ge78a0ea3;Projota;https://s2.vagalume.com/projota/images/projota.jpg;https://s2.vagalume.com/projota/images/profile.jpg;17.3;2244;https://www.vagalume.com.br/projota/;7213;0
3ade68b5g1b38eda3;Bruno e Marrone;https://s2.vagalume.com/bruno-e-marrone/images/bruno-e-marrone.jpg;https://s2.vagalume.com/bruno-e-marrone/images/profile.jpg;17.2;2228;https://www.vagalume.com.br/bruno-e-marrone/;7430;1
3ade68b6ge73afda3;Músicas Gospel;https://s2.vagalume.com/musicas-gospel/images/musicas-gospel.jpg;https://s2.vagalume.com/musicas-gospel/images/profile.jpg;16.9;2196;https://www.vagalume.com.br/musicas-gospel/;7687;0
3ade68b7gf2a40ea3;Luan Santana;https://s2.vagalume.com/luan-santana/images/luan-santana.jpg;https://s2.vagalume.com/luan-santana/images/profile.jpg;16.6;2149;https://www.vagalume.com.br/luan-santana/;7228;1
3ade68b5g9648eda3;Hinos;https://s2.vagalume.com/hinos/images/hinos.jpg;https://s2.vagalume.com/hinos/images/profile.jpg;16.1;2087;https://www.vagalume.com.br/hinos/;2565;0
3ade68b5gf808eda3;Caetano Veloso;https://s2.vagalume.com/caetano-veloso/images/caetano-veloso.jpg;https://s2.vagalume.com/caetano-veloso/images/profile.jpg;15.8;2054;https://www.vagalume.com.br/caetano-veloso/;4768;1
3ade68b5g4c58eda3;Tim Maia;https://s2.vagalume.com/tim-maia/images/tim-maia.jpg;https://s2.vagalume.com/tim-maia/images/profile.jpg;15.5;2013;https://www.vagalume.com.br/tim-maia/;6423;1
3ade68b7g5fdc0ea3;Corinhos Evangélicos;https://s2.vagalume.com/corinhos-evangelicos/images/corinhos-evangelicos.jpg;https://s2.vagalume.com/corinhos-evangelicos/images/profile.jpg;15.0;1940;https://www.vagalume.com.br/corinhos-evangelicos/;9041;0
3ade68b6gbc2aeda3;Sorriso Maroto;https://s2.vagalume.com/sorriso-maroto/images/sorriso-maroto.jpg;https://s2.vagalume.com/sorriso-maroto/images/profile.jpg;14.3;1851;https://www.vagalume.com.br/sorriso-maroto/;7725;1
3ade68b5g3558eda3;Raça Negra;https://s2.vagalume.com/raca-negra/images/raca-negra.jpg;https://s2.vagalume.com/raca-negra/images/profile.jpg;14.1;1834;https://www.vagalume.com.br/raca-negra/;5925;1
3ade68b7g44f72ea3;Dilsinho;https://s2.vagalume.com/dilsinho/images/dilsinho.jpg;https://s2.vagalume.com/dilsinho/images/profile.jpg;14.0;1818;https://www.vagalume.com.br/dilsinho/;7118;0
3ade68b5g1e38eda3;Chitãozinho e Xororó;https://s2.vagalume.com/chitaozinho-e-xororo/images/chitaozinho-e-xororo.jpg;https://s2.vagalume.com/chitaozinho-e-xororo/images/profile.jpg;13.9;1801;https://www.vagalume.com.br/chitaozinho-e-xororo/;4408;1
3ade68b6g240ceda3;Fernandinho;https://s2.vagalume.com/fernandinho/images/fernandinho.jpg;https://s2.vagalume.com/fernandinho/images/profile.jpg;13.7;1774;https://www.vagalume.com.br/fernandinho/;4645;0
3ade68b7g28932ea3;Ferrugem;https://s2.vagalume.com/ferrugem/images/ferrugem.jpg;https://s2.vagalume.com/ferrugem/images/profile.jpg;13.2;1717;https://www.vagalume.com.br/ferrugem/;6081;0
3ade68b7ge6613ea3;IZA;https://s2.vagalume.com/iza/images/iza.jpg;https://s2.vagalume.com/iza/images/profile.jpg;13.2;1715;https://www.vagalume.com.br/iza/;4617;0
3ade68b5gaf48eda3;Nando Reis;https://s2.vagalume.com/nando-reis/images/nando-reis.jpg;https://s2.vagalume.com/nando-reis/images/profile.jpg;13.0;1692;https://www.vagalume.com.br/nando-reis/;5683;1
3ade68b5g8b38eda3;Canção Nova;https://s2.vagalume.com/cancao-nova/images/cancao-nova.jpg;https://s2.vagalume.com/cancao-nova/images/profile.jpg;13.0;1690;https://www.vagalume.com.br/cancao-nova/;2154;0
3ade68b7gc54f0ea3;Gabriela Rocha;https://s2.vagalume.com/gabriela-rocha/images/gabriela-rocha.jpg;https://s2.vagalume.com/gabriela-rocha/images/profile.jpg;13.0;1685;https://www.vagalume.com.br/gabriela-rocha/;3992;0
3ade68b3g7e86eda3;Raul Seixas;https://s2.vagalume.com/raul-seixas/images/raul-seixas.jpg;https://s2.vagalume.com/raul-seixas/images/profile.jpg;12.6;1638;https://www.vagalume.com.br/raul-seixas/;5471;1
3ade68b5g9048eda3;Diante do Trono;https://s2.vagalume.com/diante-do-trono/images/diante-do-trono.jpg;https://s2.vagalume.com/diante-do-trono/images/profile.jpg;12.6;1629;https://www.vagalume.com.br/diante-do-trono/;3211;0
3ade68b7g42a23ea3;Pineapple;https://s2.vagalume.com/pineapple/images/pineapple.jpg;https://s2.vagalume.com/pineapple/images/profile.jpg;12.4;1614;https://www.vagalume.com.br/pineapple/;2712;0
3ade68b5g8068eda3;Zé Ramalho;https://s2.vagalume.com/ze-ramalho/images/ze-ramalho.jpg;https://s2.vagalume.com/ze-ramalho/images/profile.jpg;12.4;1609;https://www.vagalume.com.br/ze-ramalho/;4834;1
3ade68b4g66c6eda3;Chico Buarque;https://s2.vagalume.com/chico-buarque/images/chico-buarque.jpg;https://s2.vagalume.com/chico-buarque/images/profile.jpg;12.3;1589;https://www.vagalume.com.br/chico-buarque/;5363;1
3ade68b6g3a3efda3;Hungria;https://s2.vagalume.com/hungria/images/hungria.jpg;https://s2.vagalume.com/hungria/images/profile.jpg;12.2;1584;https://www.vagalume.com.br/hungria/;4712;0
3ade68b5gce48eda3;Milionário e José Rico;https://s2.vagalume.com/milionario-e-jose-rico/images/milionario-e-jose-rico.jpg;https://s2.vagalume.com/milionario-e-jose-rico/images/profile.jpg;12.2;1582;https://www.vagalume.com.br/milionario-e-jose-rico/;5427;0
3ade68b5g7d48eda3;Maria Bethânia;https://s2.vagalume.com/maria-bethania/images/maria-bethania.jpg;https://s2.vagalume.com/maria-bethania/images/profile.jpg;12.0;1557;https://www.vagalume.com.br/maria-bethania/;4510;1
3ade68b5g0638eda3;Ana Carolina;https://s2.vagalume.com/ana-carolina/images/ana-carolina.jpg;https://s2.vagalume.com/ana-carolina/images/profile.jpg;12.0;1552;https://www.vagalume.com.br/ana-carolina/;4719;1
3ade68b5g0d38eda3;Cassiane;https://s2.vagalume.com/cassiane/images/cassiane.jpg;https://s2.vagalume.com/cassiane/images/profile.jpg;11.8;1524;https://www.vagalume.com.br/cassiane/;3311;0
3ade68b7g3ea23ea3;Kell Smith;https://s2.vagalume.com/kell-smith/images/kell-smith.jpg;https://s2.vagalume.com/kell-smith/images/profile.jpg;11.6;1504;https://www.vagalume.com.br/kell-smith/;3099;1
3ade68b5ge538eda3;Amado Batista;https://s2.vagalume.com/amado-batista/images/amado-batista.jpg;https://s2.vagalume.com/amado-batista/images/profile.jpg;11.6;1500;https://www.vagalume.com.br/amado-batista/;3828;0
3ade68b5gf7e7eda3;Gilberto Gil;https://s2.vagalume.com/gilberto-gil/images/gilberto-gil.jpg;https://s2.vagalume.com/gilberto-gil/images/profile.jpg;11.4;1482;https://www.vagalume.com.br/gilberto-gil/;3134;1
3ade68b5g5938eda3;Belo;https://s2.vagalume.com/belo/images/belo.jpg;https://s2.vagalume.com/belo/images/profile.jpg;11.3;1461;https://www.vagalume.com.br/belo/;4949;1
3ade68b7g201b1ea3;Matheus e Kauan;https://s2.vagalume.com/matheus-e-kauan/images/matheus-e-kauan.jpg;https://s2.vagalume.com/matheus-e-kauan/images/profile.jpg;10.9;1409;https://www.vagalume.com.br/matheus-e-kauan/;4462;1
3ade68b6g7249eda3;Bruna Karla;https://s2.vagalume.com/bruna-karla/images/bruna-karla.jpg;https://s2.vagalume.com/bruna-karla/images/profile.jpg;10.7;1384;https://www.vagalume.com.br/bruna-karla/;3604;0
3ade68b5g5458eda3;Pixote;https://s2.vagalume.com/pixote/images/pixote.jpg;https://s2.vagalume.com/pixote/images/profile.jpg;10.4;1352;https://www.vagalume.com.br/pixote/;4078;1
3ade68b5g75d7eda3;Zeca Pagodinho;https://s2.vagalume.com/zeca-pagodinho/images/zeca-pagodinho.jpg;https://s2.vagalume.com/zeca-pagodinho/images/profile.jpg;10.4;1350;https://www.vagalume.com.br/zeca-pagodinho/;3916;1
3ade68b7g7a3c0ea3;Sarah Farias;https://s2.vagalume.com/sarah-farias/images/sarah-farias.jpg;https://s2.vagalume.com/sarah-farias/images/profile.jpg;10.3;1342;https://www.vagalume.com.br/sarah-farias/;2372;0
3ade68b7g1d902ea3;Maiara e Maraisa;https://s2.vagalume.com/maiara-e-maraisa/images/maiara-e-maraisa.jpg;https://s2.vagalume.com/maiara-e-maraisa/images/profile.jpg;10.0;1299;https://www.vagalume.com.br/maiara-e-maraisa/;4358;1
