desc;id_musica;url_musica;url_artista;id_artista;name;pic_medium;pic_small;rank;uniques;url_artista;views;selecionado
Nossa Senhora;3ade68b7g2f8d8ea3;/roberto-carlos/nossa-senhora-2.html;https://www.vagalume.com.br/roberto-carlos/;3ade68b5g3758eda3;Roberto Carlos;https://s2.vagalume.com/roberto-carlos/images/roberto-carlos.jpg;https://s2.vagalume.com/roberto-carlos/images/profile.jpg;52.0;6743;https://www.vagalume.com.br/roberto-carlos/;18632;1
Amor Sem Limite;3ade68b7g709a4ea3;/roberto-carlos/amor-sem-limite.html;https://www.vagalume.com.br/roberto-carlos/;3ade68b5g3758eda3;Roberto Carlos;https://s2.vagalume.com/roberto-carlos/images/roberto-carlos.jpg;https://s2.vagalume.com/roberto-carlos/images/profile.jpg;52.0;6743;https://www.vagalume.com.br/roberto-carlos/;18632;1
Como É Grande O Meu Amor Por Você;3ade68b7gef8a4ea3;/roberto-carlos/como-e-grande-o-meu-amor-por-voce-letras.html;https://www.vagalume.com.br/roberto-carlos/;3ade68b5g3758eda3;Roberto Carlos;https://s2.vagalume.com/roberto-carlos/images/roberto-carlos.jpg;https://s2.vagalume.com/roberto-carlos/images/profile.jpg;52.0;6743;https://www.vagalume.com.br/roberto-carlos/;18632;1
Amigo;3ade68b7ga19a4ea3;/roberto-carlos/amigo-letras.html;https://www.vagalume.com.br/roberto-carlos/;3ade68b5g3758eda3;Roberto Carlos;https://s2.vagalume.com/roberto-carlos/images/roberto-carlos.jpg;https://s2.vagalume.com/roberto-carlos/images/profile.jpg;52.0;6743;https://www.vagalume.com.br/roberto-carlos/;18632;1
Emoções;3ade68b7gdf8a4ea3;/roberto-carlos/emocoes-letras.html;https://www.vagalume.com.br/roberto-carlos/;3ade68b5g3758eda3;Roberto Carlos;https://s2.vagalume.com/roberto-carlos/images/roberto-carlos.jpg;https://s2.vagalume.com/roberto-carlos/images/profile.jpg;52.0;6743;https://www.vagalume.com.br/roberto-carlos/;18632;1
Lady Laura;3ade68b7gbed14ea3;/roberto-carlos/lady-laura-letras.html;https://www.vagalume.com.br/roberto-carlos/;3ade68b5g3758eda3;Roberto Carlos;https://s2.vagalume.com/roberto-carlos/images/roberto-carlos.jpg;https://s2.vagalume.com/roberto-carlos/images/profile.jpg;52.0;6743;https://www.vagalume.com.br/roberto-carlos/;18632;1
Detalhes;3ade68b5gec58eda3;/roberto-carlos/detalhes.html;https://www.vagalume.com.br/roberto-carlos/;3ade68b5g3758eda3;Roberto Carlos;https://s2.vagalume.com/roberto-carlos/images/roberto-carlos.jpg;https://s2.vagalume.com/roberto-carlos/images/profile.jpg;52.0;6743;https://www.vagalume.com.br/roberto-carlos/;18632;1
Outra Vez;3ade68b6ge8a2fda3;/roberto-carlos/outra-vez.html;https://www.vagalume.com.br/roberto-carlos/;3ade68b5g3758eda3;Roberto Carlos;https://s2.vagalume.com/roberto-carlos/images/roberto-carlos.jpg;https://s2.vagalume.com/roberto-carlos/images/profile.jpg;52.0;6743;https://www.vagalume.com.br/roberto-carlos/;18632;1
Cama E Mesa;3ade68b6g01b7fda3;/roberto-carlos/cama-e-mesa.html;https://www.vagalume.com.br/roberto-carlos/;3ade68b5g3758eda3;Roberto Carlos;https://s2.vagalume.com/roberto-carlos/images/roberto-carlos.jpg;https://s2.vagalume.com/roberto-carlos/images/profile.jpg;52.0;6743;https://www.vagalume.com.br/roberto-carlos/;18632;1
Luz Divina;3ade68b6g56a2fda3;/roberto-carlos/luz-divina.html;https://www.vagalume.com.br/roberto-carlos/;3ade68b5g3758eda3;Roberto Carlos;https://s2.vagalume.com/roberto-carlos/images/roberto-carlos.jpg;https://s2.vagalume.com/roberto-carlos/images/profile.jpg;52.0;6743;https://www.vagalume.com.br/roberto-carlos/;18632;1
Todas As Nossas Senhoras;3ade68b8g7eb90fa3;/roberto-carlos/todas-as-nossas-senhoras.html;https://www.vagalume.com.br/roberto-carlos/;3ade68b5g3758eda3;Roberto Carlos;https://s2.vagalume.com/roberto-carlos/images/roberto-carlos.jpg;https://s2.vagalume.com/roberto-carlos/images/profile.jpg;52.0;6743;https://www.vagalume.com.br/roberto-carlos/;18632;1
