,id,download,name,pic_medium,pic_small,rank,uniques,url,views
0,3ade68b5g3758eda3,1,Roberto Carlos,https://s2.vagalume.com/roberto-carlos/images/roberto-carlos.jpg,https://s2.vagalume.com/roberto-carlos/images/profile.jpg,57.9,36510,https://www.vagalume.com.br/roberto-carlos/,88195
1,3ade68b7g56470ea3,0,Músicas Católicas,https://s2.vagalume.com/musicas-catolicas/images/musicas-catolicas.jpg,https://s2.vagalume.com/musicas-catolicas/images/profile.jpg,53.9,34021,https://www.vagalume.com.br/musicas-catolicas/,91770
2,3ade68b7g09712ea3,0,Zé Neto e Cristiano,https://s2.vagalume.com/ze-neto-e-cristiano/images/ze-neto-e-cristiano.jpg,https://s2.vagalume.com/ze-neto-e-cristiano/images/profile.jpg,45.2,28538,https://www.vagalume.com.br/ze-neto-e-cristiano/,105794
3,3ade68b7g3f7e1ea3,0,Marília Mendonça,https://s2.vagalume.com/marilia-mendonca/images/marilia-mendonca.jpg,https://s2.vagalume.com/marilia-mendonca/images/profile.jpg,44.5,28042,https://www.vagalume.com.br/marilia-mendonca/,105889
4,3ade68b7gc8cb1ea3,1,Anitta,https://s2.vagalume.com/anitta/images/anitta.jpg,https://s2.vagalume.com/anitta/images/profile.jpg,43.9,27660,https://www.vagalume.com.br/anitta/,62651
5,3ade68b7g3e6e2ea3,0,Melim,https://s2.vagalume.com/melim/images/melim.jpg,https://s2.vagalume.com/melim/images/profile.jpg,43.5,27440,https://www.vagalume.com.br/melim/,77114
6,3ade68b7g73521ea3,1,Henrique e Juliano,https://s2.vagalume.com/henrique-e-juliano/images/henrique-e-juliano.jpg,https://s2.vagalume.com/henrique-e-juliano/images/profile.jpg,39.3,24767,https://www.vagalume.com.br/henrique-e-juliano/,84463
7,3ade68b6g39a2fda3,1,Jorge e Mateus,https://s2.vagalume.com/jorge-e-mateus/images/jorge-e-mateus.jpg,https://s2.vagalume.com/jorge-e-mateus/images/profile.jpg,39.0,24629,https://www.vagalume.com.br/jorge-e-mateus/,88477
8,3ade68b5g5538eda3,0,Aline Barros,https://s2.vagalume.com/aline-barros/images/aline-barros.jpg,https://s2.vagalume.com/aline-barros/images/profile.jpg,37.9,23892,https://www.vagalume.com.br/aline-barros/,51782
9,3ade68b7g75621ea3,0,Gusttavo Lima,https://s2.vagalume.com/gusttavo-lima/images/gusttavo-lima.jpg,https://s2.vagalume.com/gusttavo-lima/images/profile.jpg,37.1,23428,https://www.vagalume.com.br/gusttavo-lima/,71416
10,3ade68b5g5fe8eda3,1,Zezé Di Camargo e Luciano,https://s2.vagalume.com/zeze-di-camargo-e-luciano/images/zeze-di-camargo-e-luciano.jpg,https://s2.vagalume.com/zeze-di-camargo-e-luciano/images/profile.jpg,36.0,22678,https://www.vagalume.com.br/zeze-di-camargo-e-luciano/,55496
11,3ade68b3g6c86eda3,1,Legião Urbana,https://s2.vagalume.com/legiao-urbana/images/legiao-urbana.jpg,https://s2.vagalume.com/legiao-urbana/images/profile.jpg,31.7,19975,https://www.vagalume.com.br/legiao-urbana/,55281
12,3ade68b6g9609eda3,0,Racionais Mc's,https://s2.vagalume.com/racionais-mcs/images/racionais-mcs.jpg,https://s2.vagalume.com/racionais-mcs/images/profile.jpg,31.6,19904,https://www.vagalume.com.br/racionais-mcs/,38927
13,3ade68b7g92052ea3,0,Mc Livinho,https://s2.vagalume.com/mc-livinho/images/mc-livinho.jpg,https://s2.vagalume.com/mc-livinho/images/profile.jpg,29.9,18854,https://www.vagalume.com.br/mc-livinho/,30613
14,3ade68b7g8f8b2ea3,1,Anavitória,https://s2.vagalume.com/anavitoria/images/anavitoria.jpg,https://s2.vagalume.com/anavitoria/images/profile.jpg,28.8,18158,https://www.vagalume.com.br/anavitoria/,74094
15,3ade68b5ged38eda3,1,Charlie Brown Jr,https://s2.vagalume.com/charlie-brown-jr/images/charlie-brown-jr.jpg,https://s2.vagalume.com/charlie-brown-jr/images/profile.jpg,28.7,18097,https://www.vagalume.com.br/charlie-brown-jr/,53386
16,3ade68b5g1b38eda3,1,Bruno e Marrone,https://s2.vagalume.com/bruno-e-marrone/images/bruno-e-marrone.jpg,https://s2.vagalume.com/bruno-e-marrone/images/profile.jpg,27.8,17522,https://www.vagalume.com.br/bruno-e-marrone/,55724
17,3ade68b6ge73afda3,0,Músicas Gospel,https://s2.vagalume.com/musicas-gospel/images/musicas-gospel.jpg,https://s2.vagalume.com/musicas-gospel/images/profile.jpg,27.6,17402,https://www.vagalume.com.br/musicas-gospel/,48700
18,3ade68b7gd14e2ea3,0,Alok,https://s2.vagalume.com/alok/images/alok.jpg,https://s2.vagalume.com/alok/images/profile.jpg,25.0,15799,https://www.vagalume.com.br/alok/,37283
19,3ade68b7g28932ea3,0,Ferrugem,https://s2.vagalume.com/ferrugem/images/ferrugem.jpg,https://s2.vagalume.com/ferrugem/images/profile.jpg,23.5,14824,https://www.vagalume.com.br/ferrugem/,51433
20,3ade68b7g44f72ea3,0,Dilsinho,https://s2.vagalume.com/dilsinho/images/dilsinho.jpg,https://s2.vagalume.com/dilsinho/images/profile.jpg,22.3,14043,https://www.vagalume.com.br/dilsinho/,33616
21,3ade68b7gf2a40ea3,1,Luan Santana,https://s2.vagalume.com/luan-santana/images/luan-santana.jpg,https://s2.vagalume.com/luan-santana/images/profile.jpg,21.9,13826,https://www.vagalume.com.br/luan-santana/,38425
22,3ade68b6g1bf9eda3,1,Roupa Nova,https://s2.vagalume.com/roupa-nova/images/roupa-nova.jpg,https://s2.vagalume.com/roupa-nova/images/profile.jpg,21.9,13822,https://www.vagalume.com.br/roupa-nova/,36635
23,3ade68b6gad13fda3,0,Harpa Cristã,https://s2.vagalume.com/harpa-crista/images/harpa-crista.jpg,https://s2.vagalume.com/harpa-crista/images/profile.jpg,21.4,13497,https://www.vagalume.com.br/harpa-crista/,35595
24,3ade68b6g193eeda3,1,Wesley Safadão,https://s2.vagalume.com/wesley-safadao/images/wesley-safadao.jpg,https://s2.vagalume.com/wesley-safadao/images/profile.jpg,21.2,13349,https://www.vagalume.com.br/wesley-safadao/,36991
25,3ade68b7g42a23ea3,0,Pineapple,https://s2.vagalume.com/pineapple/images/pineapple.jpg,https://s2.vagalume.com/pineapple/images/profile.jpg,20.0,12585,https://www.vagalume.com.br/pineapple/,20106
26,3ade68b6g3a3efda3,0,Hungria,https://s2.vagalume.com/hungria/images/hungria.jpg,https://s2.vagalume.com/hungria/images/profile.jpg,19.4,12226,https://www.vagalume.com.br/hungria/,30947
27,3ade68b6gbc2aeda3,1,Sorriso Maroto,https://s2.vagalume.com/sorriso-maroto/images/sorriso-maroto.jpg,https://s2.vagalume.com/sorriso-maroto/images/profile.jpg,19.4,12224,https://www.vagalume.com.br/sorriso-maroto/,39640
28,3ade68b7ge78a0ea3,0,Projota,https://s2.vagalume.com/projota/images/projota.jpg,https://s2.vagalume.com/projota/images/profile.jpg,18.6,11726,https://www.vagalume.com.br/projota/,30376
29,3ade68b6g240ceda3,0,Fernandinho,https://s2.vagalume.com/fernandinho/images/fernandinho.jpg,https://s2.vagalume.com/fernandinho/images/profile.jpg,18.5,11649,https://www.vagalume.com.br/fernandinho/,29863
30,3ade68b7g3ea23ea3,0,Kell Smith,https://s2.vagalume.com/kell-smith/images/kell-smith.jpg,https://s2.vagalume.com/kell-smith/images/profile.jpg,18.4,11627,https://www.vagalume.com.br/kell-smith/,21617
31,3ade68b6gf72ceda3,0,Padre Zezinho,https://s2.vagalume.com/padre-zezinho/images/padre-zezinho.jpg,https://s2.vagalume.com/padre-zezinho/images/profile.jpg,18.2,11474,https://www.vagalume.com.br/padre-zezinho/,20023
32,3ade68b5gaf48eda3,1,Nando Reis,https://s2.vagalume.com/nando-reis/images/nando-reis.jpg,https://s2.vagalume.com/nando-reis/images/profile.jpg,18.0,11323,https://www.vagalume.com.br/nando-reis/,32311
33,3ade68b5ge3e6eda3,1,Djavan,https://s2.vagalume.com/djavan/images/djavan.jpg,https://s2.vagalume.com/djavan/images/profile.jpg,17.8,11239,https://www.vagalume.com.br/djavan/,37270
34,3ade68b7ge6613ea3,0,IZA,https://s2.vagalume.com/iza/images/iza.jpg,https://s2.vagalume.com/iza/images/profile.jpg,16.7,10551,https://www.vagalume.com.br/iza/,23512
35,3ade68b5gf808eda3,1,Caetano Veloso,https://s2.vagalume.com/caetano-veloso/images/caetano-veloso.jpg,https://s2.vagalume.com/caetano-veloso/images/profile.jpg,16.4,10333,https://www.vagalume.com.br/caetano-veloso/,21666
36,3ade68b7g1d902ea3,0,Maiara e Maraisa,https://s2.vagalume.com/maiara-e-maraisa/images/maiara-e-maraisa.jpg,https://s2.vagalume.com/maiara-e-maraisa/images/profile.jpg,15.4,9698,https://www.vagalume.com.br/maiara-e-maraisa/,30286
37,3ade68b5g9048eda3,0,Diante do Trono,https://s2.vagalume.com/diante-do-trono/images/diante-do-trono.jpg,https://s2.vagalume.com/diante-do-trono/images/profile.jpg,15.3,9628,https://www.vagalume.com.br/diante-do-trono/,17494
